isin,nome
IE000U58J0M1,iShares Global Clean Energy Transition UCITS ETF USD (Acc)
IE000A9G9R73,iShares Space Technologies UCITS ETF USD (Acc)
IE000X59ZHE2,iShares AI Infrastructure UCITS ETF USD (Acc)
IE0009QS7W62,iShares Healthcare Innovation UCITS ETF USD (Acc)
IE00BYZK4669,iShares Ageing Population UCITS ETF USD (Acc)
IE00BYZK4776,iShares MSCI World Health Care Sector Advanced UCITS ETF USD (Acc)
IE00B6R52143,iShares Agribusiness UCITS ETF USD (Acc)
IE00023EZQ82,iShares Digital Entertainment and Education UCITS ETF USD (Acc)
LU1681045537,Amundi MSCI World Ex Europe UCITS ETF - EUR (C)
LU1691909508,Amundi Global Gender Equality UCITS ETF Acc
LU1681048713,Amundi S&P Global Luxury UCITS ETF - USD (C)
DE000ETF9082,Amundi TecDAX UCITS ETF Dist
FR0010821819,Amundi MSCI Europe Ex EMU ESG Selection UCITS ETF Acc
LU1834983634,Amundi STOXX Europe 600 Basic Materials UCITS ETF Acc
LU2082997516,Amundi STOXX Europe 600 Healthcare UCITS ETF Dist
LU2082999215,Amundi STOXX Europe 600 Utilities UCITS ETF Dist
FR0011857234,Amundi MDAX UCITS ETF Dist
LU1681038326,Amundi NASDAQ-100 UCITS ETF - USD (C)
LU2269164310,Equity
LU1681046345,Fixed Income
LU1650487926,Amundi Euro Government Bond 1-3Y UCITS ETF Dist
LU1650488817,Amundi Euro Government Bond 3-5Y UCITS ETF Dist
LU2090062949,Amundi Euro Government Bond 7-10Y UCITS ETF Dist
LU2090062782,Amundi Euro Government Bond 15+Y UCITS ETF Dist
LU1686831030,Amundi J.P. Morgan USD Emerging Markets Bond UCITS ETF EUR Hedged Dist
LU2099296274,Fixed Income
LU1435356495,Amundi USD High Yield Corporate Bond ESG UCITS ETF EUR Hedged Dist
LU1563454823,Amundi Global Aggregate Green Bond UCITS ETF EUR Hedged Acc
FR0010315770,Amundi MSCI World II UCITS ETF Dist
FR0011660927,Amundi MSCI World II UCITS ETF EUR Hedged Dist
